DateTime,Airport,Airport2,Inbound,Carrier,Delay,Distance
30-12-2008 17:22,JFK,MCO,0,B6,17,944
30-12-2008 09:57,JFK,MCO,0,B6,2,944
30-12-2008 05:57,JFK,MCO,0,B6,-3,944
30-12-2008 21:27,JFK,MCO,0,B6,-2,944
30-12-2008 07:05,JFK,MCO,0,B6,-5,944
30-12-2008 18:12,JFK,MCO,0,B6,22,944
30-12-2008 20:22,JFK,MSY,0,B6,52,1182
30-12-2008 07:46,JFK,MSY,0,B6,31,1182
30-12-2008 14:54,JFK,MSY,0,B6,15,1182
30-12-2008 17:25,JFK,OAK,0,B6,55,2576
30-12-2008 18:32,JFK,OAK,0,B6,2,2576
30-12-2008 09:27,JFK,OAK,0,B6,2,2576
30-12-2008 10:38,ORD,JFK,1,B6,-8,740
30-12-2008 15:02,ORD,JFK,1,B6,-14,740
30-12-2008 18:13,ORD,JFK,1,B6,-3,740
30-12-2008 22:06,ORD,JFK,1,B6,-7,740
30-12-2008 19:43,JFK,PBI,0,B6,3,1028
30-12-2008 07:56,JFK,PBI,0,B6,-1,1028
30-12-2008 21:25,JFK,PBI,0,B6,15,1028
30-12-2008 15:07,JFK,PBI,0,B6,8,1028
30-12-2008 14:01,JFK,PBI,0,B6,12,1028
30-12-2008 08:52,JFK,PBI,0,B6,1,1028
30-12-2008 10:57,JFK,PBI,0,B6,21,1028
30-12-2008 06:04,JFK,PBI,0,B6,-1,1028
30-12-2008 16:48,JFK,PBI,0,B6,49,1028
30-12-2008 19:18,JFK,PDX,0,B6,-2,2454
30-12-2008 07:57,JFK,PHX,0,B6,2,2153
30-12-2008 18:53,JFK,PHX,0,B6,-2,2153
30-12-2008 07:52,JFK,PIT,0,B6,-8,340
30-12-2008 17:54,JFK,PIT,0,B6,154,340
30-12-2008 23:49,JFK,PSE,0,B6,-1,1617
30-12-2008 09:30,JFK,PWM,0,B6,-5,274
30-12-2008 23:54,JFK,PWM,0,B6,224,274
30-12-2008 12:17,JFK,PWM,0,B6,-3,274
30-12-2008 22:54,JFK,PWM,0,B6,39,274
30-12-2008 08:01,JFK,RDU,0,B6,6,426
30-12-2008 18:02,JFK,RDU,0,B6,17,426
30-12-2008 22:05,JFK,RDU,0,B6,20,426
30-12-2008 08:01,JFK,RIC,0,B6,-4,288
30-12-2008 17:24,JFK,RIC,0,B6,74,288
30-12-2008 22:38,JFK,RIC,0,B6,48,288
30-12-2008 09:20,JFK,ROC,0,B6,0,264
30-12-2008 22:50,JFK,ROC,0,B6,15,264
30-12-2008 13:04,JFK,ROC,0,B6,-1,264
30-12-2008 21:15,JFK,ROC,0,B6,16,264
30-12-2008 16:56,JFK,ROC,0,B6,-3,264
30-12-2008 14:03,JFK,RSW,0,B6,38,1074
30-12-2008 07:19,JFK,RSW,0,B6,-1,1074
30-12-2008 10:07,JFK,RSW,0,B6,-4,1074
30-12-2008 09:16,JFK,RSW,0,B6,-1,1074
30-12-2008 18:34,JFK,RSW,0,B6,39,1074
30-12-2008 20:25,JFK,RSW,0,B6,-5,1074
30-12-2008 06:15,JFK,RSW,0,B6,0,1074
30-12-2008 15:44,JFK,RSW,0,B6,34,1074
30-12-2008 08:28,JFK,SAN,0,B6,-2,2446
30-12-2008 16:39,JFK,SAN,0,B6,-1,2446
30-12-2008 20:20,JFK,SEA,0,B6,0,2421
30-12-2008 17:48,JFK,SFO,0,B6,-2,2586
30-12-2008 18:49,JFK,SJC,0,B6,19,2569
30-12-2008 15:40,JFK,SJU,0,B6,25,1597
30-12-2008 18:52,JFK,SJU,0,B6,22,1597
30-12-2008 20:56,JFK,SJU,0,B6,11,1597
30-12-2008 09:53,JFK,SJU,0,B6,-6,1597
30-12-2008 05:56,JFK,SJU,0,B6,-4,1597
30-12-2008 23:49,JFK,SJU,0,B6,-10,1597
30-12-2008 08:57,JFK,SJU,0,B6,2,1597
30-12-2008 20:46,JFK,SLC,0,B6,26,1989
30-12-2008 19:36,JFK,SMF,0,B6,16,2521
30-12-2008 08:18,JFK,SRQ,0,B6,-2,1041
30-12-2008 13:00,JFK,SRQ,0,B6,12,1041
30-12-2008 23:13,JFK,SYR,0,B6,33,209
30-12-2008 11:02,JFK,SYR,0,B6,-8,209
30-12-2008 09:45,JFK,SYR,0,B6,-10,209
30-12-2008 16:48,JFK,SYR,0,B6,68,209
30-12-2008 18:57,JFK,TPA,0,B6,2,1005
30-12-2008 20:33,JFK,TPA,0,B6,-7,1005
30-12-2008 08:11,JFK,TPA,0,B6,6,1005
30-12-2008 13:51,JFK,TPA,0,B6,21,1005
30-12-2008 05:57,JFK,TPA,0,B6,-3,1005
30-12-2008 10:59,JFK,TPA,0,B6,-1,1005
30-12-2008 18:18,JFK,LAS,1,B6,-7,2248
30-12-2008 20:36,JFK,LAS,1,B6,36,2248
30-12-2008 06:36,JFK,LAS,1,B6,3,2248
30-12-2008 08:01,JFK,LAS,1,B6,-24,2248
30-12-2008 15:05,JFK,LGB,1,B6,-22,2465
30-12-2008 16:46,JFK,LGB,1,B6,-18,2465
30-12-2008 21:16,JFK,LGB,1,B6,-15,2465
30-12-2008 05:39,JFK,LGB,1,B6,29,2465
30-12-2008 16:40,ORD,LGB,1,B6,-10,1735
30-12-2008 18:25,JFK,MCO,1,B6,36,944
30-12-2008 13:12,JFK,MCO,1,B6,1,944
30-12-2008 08:31,JFK,MCO,1,B6,-1,944
30-12-2008 09:21,JFK,MCO,1,B6,-6,944
30-12-2008 23:08,JFK,MCO,1,B6,-7,944
30-12-2008 12:26,JFK,MCO,1,B6,1,944
30-12-2008 16:34,JFK,MCO,1,B6,15,944
30-12-2008 10:36,JFK,MCO,1,B6,5,944
30-12-2008 22:13,JFK,MCO,1,B6,116,944
30-12-2008 22:07,JFK,MCO,1,B6,-15,944
30-12-2008 09:56,JFK,MSY,1,B6,-2,1182
30-12-2008 14:46,JFK,MSY,1,B6,29,1182
30-12-2008 21:43,JFK,MSY,1,B6,-13,1182
30-12-2008 06:33,JFK,OAK,1,B6,16,2576
30-12-2008 15:50,JFK,OAK,1,B6,-9,2576
30-12-2008 22:38,JFK,OAK,1,B6,24,2576
30-12-2008 18:49,ORD,BOS,0,B6,-6,867
30-12-2008 09:04,JFK,ORD,1,B6,-12,740
30-12-2008 12:31,JFK,ORD,1,B6,-11,740
30-12-2008 15:16,JFK,ORD,1,B6,34,740
